period,ref_area,value,unit,unit_multiplier,status
1983,DEU,13.68556139504,number,0,final
1984,DEU,13.9408339609126,number,0,final
1985,DEU,13.9795324116704,number,0,final
1986,DEU,13.8941268934724,number,0,final
1987,DEU,13.7707489935755,number,0,final
1988,DEU,13.6365205133318,number,0,final
1989,DEU,13.3386182419403,number,0,final
1990,DEU,12.7491248004656,number,0,final
1991,DEU,12.394338353428,number,0,final
1992,DEU,11.6315990809653,number,0,final
1993,DEU,11.4510713103297,number,0,final
1994,DEU,11.2385555758081,number,0,final
1995,DEU,11.1470987474958,number,0,final
1996,DEU,11.4674545321347,number,0,final
1997,DEU,11.0621677727363,number,0,final
1998,DEU,11.0498012759607,number,0,final
1999,DEU,10.604888221829,number,0,final
2000,DEU,10.5993032021746,number,0,final
2001,DEU,10.7525841705381,number,0,final
2002,DEU,10.546202837135,number,0,final
2003,DEU,10.6369632865784,number,0,final
2004,DEU,10.4632650583049,number,0,final
2005,DEU,10.2067903422435,number,0,final
2006,DEU,10.3846207212787,number,0,final
2007,DEU,10.0478127320359,number,0,final
2008,DEU,10.1072965484379,number,0,final
2009,DEU,9.37864424258525,number,0,final
2010,DEU,9.96567124737992,number,0,final
2011,DEU,9.81776726131477,number,0,final
2012,DEU,9.94745307113612,number,0,final
2013,DEU,10.1408601249876,number,0,final
2014,DEU,9.61630846170469,number,0,final
2015,DEU,9.60884887243027,number,0,final
2016,DEU,9.58423383867929,number,0,final
2017,DEU,9.36976518940283,number,0,final
2018,DEU,9.00657809367265,number,0,final
2019,DEU,8.38218043063623,number,0,final
2020,DEU,7.72103264767393,number,0,final
2021,DEU,8.06128144646434,number,0,final
2022,DEU,7.91182860265874,number,0,final
2023,DEU,7.07982839106762,number,0,final
2024,DEU,6.94395663386317,number,0,final
1970,FRA,9.02209078136901,number,0,final
1971,FRA,9.16813901253597,number,0,final
1972,FRA,9.41932605868213,number,0,final
1973,FRA,10.029740133575,number,0,final
1974,FRA,9.61487384934752,number,0,final
1975,FRA,8.81900072946146,number,0,final
1976,FRA,9.62064491984429,number,0,final
1977,FRA,9.23497755873949,number,0,final
1978,FRA,9.52225151336381,number,0,final
1979,FRA,9.61737964695466,number,0,final
1980,FRA,9.16861115489285,number,0,final
1981,FRA,8.20897257760696,number,0,final
1982,FRA,7.80186080944381,number,0,final
1983,FRA,7.41894296265813,number,0,final
1984,FRA,7.17761009352362,number,0,final
1985,FRA,6.96071280894329,number,0,final
1986,FRA,6.71263232275327,number,0,final
1987,FRA,6.5569832882302,number,0,final
1988,FRA,6.52037722160208,number,0,final
1989,FRA,6.73205879247458,number,0,final
1990,FRA,6.6078992929268,number,0,final
1991,FRA,7.00271894903874,number,0,final
1992,FRA,6.740126155836,number,0,final
1993,FRA,6.37822784709037,number,0,final
1994,FRA,6.28192432572495,number,0,final
1995,FRA,6.41153012227111,number,0,final
1996,FRA,6.63417940846769,number,0,final
1997,FRA,6.47243151046425,number,0,final
1998,FRA,6.81353446656297,number,0,final
1999,FRA,6.67500237099655,number,0,final
2000,FRA,6.58034817935345,number,0,final
2001,FRA,6.59967427030181,number,0,final
2002,FRA,6.46436747006761,number,0,final
2003,FRA,6.49767617932604,number,0,final
2004,FRA,6.46668310699496,number,0,final
2005,FRA,6.45391402908229,number,0,final
2006,FRA,6.24021668362979,number,0,final
2007,FRA,6.09003030294036,number,0,final
2008,FRA,5.94290191259616,number,0,final
2009,FRA,5.71717317269645,number,0,final
2010,FRA,5.80194807906,number,0,final
2011,FRA,5.56604040689413,number,0,final
2012,FRA,5.55949763606406,number,0,final
2013,FRA,5.45712098979101,number,0,final
2014,FRA,4.93048874498212,number,0,final
2015,FRA,4.99116340691761,number,0,final
2016,FRA,5.01727531627851,number,0,final
2017,FRA,5.06155143263354,number,0,final
2018,FRA,4.89217066506758,number,0,final
2019,FRA,4.79214044818249,number,0,final
2020,FRA,4.24677642127474,number,0,final
2021,FRA,4.66820869200128,number,0,final
2022,FRA,4.51246828877731,number,0,final
2023,FRA,4.15598361008436,number,0,final
2024,FRA,4.00355772602595,number,0,final
